uniprot_id,ncbi_id,protein_name
A0A024R1X5,8678,Beclin-1
A0A024R274,4089,Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)
A0A024R2F2,7428,von Hippel-Lindau tumor suppressor isoform 2
A0A024R324,387,"Epididymis secretory sperm binding protein (Ras homolog gene family, member A, isoform CRA_a)"
A0A024R6A3,5663,Presenilin (EC 3.4.23.-)
A0A068F658,2629,Glucosylceramidase (EC 3.2.1.45)
A0A087WV00,9162,Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)
A0A090N7W4,1020,"Cyclin-dependent kinase 5 (Cyclin-dependent kinase 5 isoform 1) (Cyclin-dependent kinase 5, isoform CRA_a) (Epididymis secretory sperm binding protein)"
A0A090N8E9,2146,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)
A0A0B4J2F2,102724428,Putative serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)
A0A0C3SFZ9,23149,"FCH and mu domain containing endocytic adaptor 1 (FCH domain only 1, isoform CRA_b)"
A0A0K0K1J8,55811,Adenylate cyclase type 10 (EC 4.6.1.1)
A0A0K0K1K3,114,adenylate cyclase (EC 4.6.1.1)
A0A0S2Z310,94,Serine/threonine-protein kinase receptor (EC 2.7.11.30)
A0A0S2Z366,34,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)"
A0A0S2Z381,100,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)
A0A0S2Z383,1482,NK2 transcription factor related locus 5 isoform 1
A0A0S2Z391,578,BCL2-antagonist/killer 1 isoform 1
A0A0S2Z3A9,585,"Bardet-Biedl syndrome 4 isoform 1 (Bardet-Biedl syndrome 4, isoform CRA_a)"
A0A0S2Z3C5,598,Bcl-2-like protein 1 (Apoptosis regulator Bcl-X)
A0A0S2Z3C7,958,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor)
A0A0S2Z3D5,348,Apolipoprotein E isoform 1
A0A0S2Z3Q4,1398,V-crk sarcoma virus CT10 oncogene-like protein isoform 1
A0A0S2Z3W3,3073,beta-N-acetylhexosaminidase (EC 3.2.1.52)
A0A0S2Z3W6,477,Sodium/potassium-transporting ATPase subunit alpha
A0A0S2Z4C6,5530,Serine/threonine-protein phosphatase (EC 3.1.3.16)
A0A0S2Z4D1,6794,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A0S2Z4G9,6049,Ring finger protein 6 isoform 2
A0A0S2Z4N5,8626,Tumor protein 63 (p63)
A0A0S2Z4R0,8312,"Axin 1 isoform 2 (Axin 1, isoform CRA_b)"
A0A0S2Z4Z8,8767,Receptor-interacting serine-threonine kinase 2 isoform 1
A0A0S2Z5U8,84062,Dystrobrevin binding protein 1 isoform 1
A0A140VJC8,351,Amyloid-beta A4 protein
A0A140VJE4,4669,Testicular tissue protein Li 18
A0A140VJL2,3158,Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)
A0A140VJL9,210,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)
A0A140VJM0,3675,Testicular tissue protein Li 96 (Testicular tissue protein Li 98)
A0A140VJU3,6423,Testicular tissue protein Li 170
A0A140VKC4,4204,Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)
A0A1B1RVA9,4023,Lipoprotein lipase (LPL) (EC 3.1.1.34)
A0A1D5RMN4,2492,Follicle-stimulating hormone receptor (Follitropin receptor)
A0A1U9X797,79969,Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)
A0A1U9X7R0,2550,GABBR1
A0A2P9DU05,9475,Rho-associated protein kinase (EC 2.7.11.1)
A0A2X0SFG1,5295,Phosphatidylinositol 3-kinase regulatory subunit alpha (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha)
A0A384MDY0,1495,"Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_b (Epididymis secretory sperm binding protein)"
A0A384N611,7474,Protein Wnt
A0A384NL29,6648,Superoxide dismutase (EC 1.15.1.1)
A0A384NY87,6342,Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)
A0A384P5C6,28514,Delta-like protein
A0A384P5Q0,847,Catalase (EC 1.11.1.6)
A0A499FJK2,7040,Transforming growth factor beta
A0A7I2SVS4,9759,Histone deacetylase (EC 3.5.1.98)
A0A7U3JW18,2255,Fibroblast growth factor (FGF)
A0A8D9PH75,2898,Glutamate receptor
A0AV02,84561,Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)
